Autoridad Ambiental,Nombre de la estación,Latitud,Longitud,Ubicación,Departamento,Municipio,Tipo de Estación,Variable,Unidades,Tiempo Promedio,Promedio,Número de Excedencias,Representatividad Temporal,Porcentaje de excedencias,Mediana,Percentil 98,Máximo,Mínimo,Días con Excedencias
AMVA,BAR-HSVP,6.436,-75.333431,"(6.436, -75.333431)",ANTIOQUIA,BARBOSA,Fija,PM10,ugm3,24,26.8,0,103,0,25,50.5,60,10,0
AMVA,BAR-PDLA,6.409306,-75.417306,"(6.409306, -75.417306)",ANTIOQUIA,BARBOSA,Fija,O3,ugm3,1,32.5,6,97,0.07,24.9,87.4,146.1,0.2,5
AMVA,BAR-PDLA,6.409306,-75.417306,"(6.409306, -75.417306)",ANTIOQUIA,BARBOSA,Fija,O3,ugm3,8,32.5,96,97,1.13,29.8,76.2,112.1,0.8,29
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,NO,ugm3,1,7.1,0,86,0,3.3,41.7,146.6,0,0
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,NO2,ugm3,1,16.3,0,89,0,14,48.6,164.1,0,0
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,NO2,ugm3,24,16.2,0,89,0,15.6,30.9,38.1,3.4,0
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,O3,ugm3,1,29.9,39,91,0.49,22.6,88.2,243.9,0,26
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,O3,ugm3,8,29.9,45,91,0.57,27.1,71.4,125.9,0.1,12
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,PM10,ugm3,1,45.5,0,92,0,42,98.8,201,2,0
AMVA,BEL-USBV,6.330697,-75.568669,"(6.330697, -75.568669)",ANTIOQUIA,BELLO,Fija,PM10,ugm3,24,45.5,0,92,0,44,84.7,100,25,0
AMVA,CAL-LASA,6.101972,-75.641944,"(6.101972, -75.641944)",ANTIOQUIA,CALDAS,Fija,O3,ugm3,1,36.4,216,92,2.67,21.8,125.8,213.4,0,90
AMVA,CAL-LASA,6.101972,-75.641944,"(6.101972, -75.641944)",ANTIOQUIA,CALDAS,Fija,O3,ugm3,8,36.4,627,92,7.76,30.1,101,153.1,0.9,134
AMVA,CAL-LASA,6.101972,-75.641944,"(6.101972, -75.641944)",ANTIOQUIA,CALDAS,Fija,PM2.5,ugm3,1,29.8,0,90,0,27,73,152,1,0
AMVA,CAL-LASA,6.101972,-75.641944,"(6.101972, -75.641944)",ANTIOQUIA,CALDAS,Fija,PM2.5,ugm3,24,29.7,12,89,3.68,28,56,92,6,12
AMVA,CAL-PMER (S),6.094611,-75.638,"(6.094611, -75.638)",ANTIOQUIA,CALDAS,Fija,PM10,ugm3,24,45.1,0,93,0,45,66.2,89,20,0
AMVA,COP-HSMA,6.352639,-75.508139,"(6.352639, -75.508139)",ANTIOQUIA,COPACABANA,Fija,PM10,ugm3,24,30.2,0,93,0,29,59.9,70,7,0
AMVA,EST-MAGO,6.155111,-75.639167,"(6.155111, -75.639167)",ANTIOQUIA,LA ESTRELLA,Fija,PM10,ugm3,24,48.1,0,96,0,48,76.4,81,19,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,CO,mgm3,1,1.3,0,83,0,1.3,2.2,3.2,0,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,CO,mgm3,8,1.3,0,82,0,1.3,2,2.6,0.1,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,NO,ugm3,1,45.8,0,87,0,36.4,149.8,283.6,0.1,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,NO2,ugm3,1,30.8,0,90,0,28.4,72.2,123.7,0.2,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,NO2,ugm3,24,30.8,0,90,0,31.2,47.5,54.8,7.6,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,PM2.5,ugm3,1,51.1,0,90,0,49,103.2,172,1,0
AMVA,EST-METR,6.1523,-75.6274,"(6.1523, -75.6274)",ANTIOQUIA,SABANETA,Fija,PM2.5,ugm3,24,51.1,148,90,45.26,50,83,98,23,148
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,CO,mgm3,1,1.8,0,2,0,2.1,3.5,4.2,0.1,0
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,CO,mgm3,8,2,0,2,0,2.2,3,3,0.2,0
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,NO,ugm3,1,10.8,0,3,0,6.2,46,68.8,1.2,0
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,NO2,ugm3,1,21.8,0,3,0,20.7,45.6,58.3,1.9,0
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,NO2,ugm3,24,21.8,0,3,0,23.9,35.9,36.6,8.3,0
AMVA,Estacion_Secretaria,6.252719,-75.569683,"(6.252719, -75.569683)",ANTIOQUIA,MEDELLÍN,Indicativa,PM10,ugm3,1,38.9,0,4,0,37,70,92,10,0
