Fecha,Hora,M/T,Intervalo,Temperatura (°C),Humedad (%),Presión Realtiva(hpa),Presión Absoluta(hpa),Velocidad del viento(km/h),Ráfagas(km/h),Dirección del viento,Punto de rocio(°C),Temperatura del aire(°C),Precipitación en la ultima hora(mm),Precipitación en 24 horas (mm),Precipitación semanalmm),Precipitación mensualmm),Precipitación total(mm),Luz(lux)
01/01/2016 12:00:00 AM,12:22:47,AM,30,181,85,1011.1,899.7,3.6,5,SE,15.6,18.1,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,12:52:47,AM,30,189,85,1011.6,900.2,0,1.1,N,16.3,18.9,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,01:22:47,AM,30,201,80,1011.8,900.4,0,0,S,16.6,20.1,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,01:52:47,AM,30,227,68,1011.9,900.5,0,1.1,NE,16.5,22.7,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,02:22:47,AM,30,241,63,1012.5,901.1,1.1,3.6,S,16.6,24.1,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,02:52:47,AM,30,253,59,1012.5,901.1,2.5,3.6,NE,16.7,25.3,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,03:22:47,AM,30,258,59,1012.8,901.4,6.1,8.6,N,17.2,25.8,0,0,0.3,0,3093,8092.7
01/01/2016 12:00:00 AM,03:52:47,AM,30,266,52,1012.5,901.1,3.6,6.1,NW,16,26.6,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,04:22:47,AM,30,274,48,1012.2,900.8,6.1,7.2,NE,15.5,27.4,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,04:52:47,AM,30,279,46,1011.6,900.2,5,6.1,W,15.2,27.9,0,0,0.3,0,3093,--.-
01/01/2016 12:00:00 AM,05:22:47,AM,30,289,45,1011.1,899.7,1.1,3.6,N,15.8,28.9,0,0,0.3,0,3093,348516.3
