noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
877,15,BOYACA,15621,RONDON,1534,153420,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1765,25,CUNDINAMARCA,25592,QUEBRADANEGRA,2534,253427,MUNICIPIO UTICA,MUNICIPIO VILLETA,MUNICIPIO NIMAIMA,MUNICIPIO GUADUAS,Rural,Sin Informacion de Barrios,Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro
228,5,ANTIOQUIA,05002,ABEJORRAL,550,55030,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Alto de Letras
3540,88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,8800,880007,LIMITE URBANO,SAN LUIS,MAR CARIBE,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1963,41,HUILA,41013,AGRADO,4140,414040,LIMITE URBANO,LIMITE URBANO,KR 1,KR 11,Urbano,Sin Informacion de Barrios,Bajo Buena Vista- Cabecera Municipal-  La Galda
3094,73,TOLIMA,73001,IBAGUE,7300,730002,LIMITE URBANO,KR 5,CL 70,CL 60 Y LIMITE URBANO,Urbano,Sin Informacion de Barrios,Bellavista- El Triunfo-  La Pedreguera
1326,20,CESAR,20001,VALLEDUPAR,2000,200009,MUNICIPIO SAN J. DEL CESAR,RIO AZUCAR BUENO,M. VILLANUE.- LA J. DEL PI. Y SAN D.,VIA BOSC.-VALLED.-SAN J. DEL C.,Rural,Sin Informacion de Barrios,EL ENEAL- LOS SANJONES-  SAN JERONIMO
67,5,ANTIOQUIA,05264,ENTRERRIOS,514,51430,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,CL 14,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
589,13,BOLIVAR,13442,MARIA LA BAJA,1310,131077,MUNICIPIO ARJONA,MUNICIPIO SAN ONOFRE,VIA PUEBLO NUEVO-CORREA,MUNICIPIO SAN ONOFRE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
286,5,ANTIOQUIA,05145,CARAMANTA,560,56040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2198,50,META,50110,BARRANCA DE UPIA,5010,501001,CL 13,CL 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana
1700,25,CUNDINAMARCA,25797,TENA,2526,252610,CL 9,DG 2 S,KR 0,KR 8B,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2192,50,META,50001,VILLAVICENCIO,5000,500004,AK 40 Y KR 33,RIO OCOA  Y  LIM URB,KR  22,KR 48 Y VIA P/LELA C. TIGRE,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
914,15,BOYACA,15638,SACHICA,1538,153880,CL 8,CL 0,KR 0,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1008,17,CALDAS,17653,SALAMINA,1720,172001,LIMITE URBANO,LIMITE URBANO,KR 9,KR 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2876,68,SANTANDER,68209,CONFINES,6835,683531,CL 15,CL 3,KR 4,KR 7,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Salitre
48,5,ANTIOQUIA,05308,GIRARDOTA,510,51037,MUNICIPIO DON MATIAS,LIMITE URBANO,MUNICIPIO BARBOSA,MUNICIPIO COPACABANA,Rural,Sin Informacion de Barrios,El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito
401,8,ATLANTICO,08573,PUERTO COLOMBIA,810,81007,MAR CA. Y M. B/QUILLA,VIA B/QUILLA-PTO. COL.,MPIO. B/QUILLA,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
820,15,BOYACA,15047,AQUITANIA,1524,152429,QUEBRADA SISVACA,M. SAN EDUARDO Y PAEZ,MUNICIPIO CHAMEZA,M. RONDON Y ZETAQUIRA,Rural,Sin Informacion de Barrios,Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia
340,5,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,570,57050,CL 20,CL 7,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
225,5,ANTIOQUIA,05400,LA UNION,550,55020,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito
861,15,BOYACA,15798,TENZA,1532,153207,MPIO. LA CAPILLA Y PACHAVITA,MUNICIPIO SUTATENZA,MUNICIPIO GARAGOA,M. LA CAPILLA- TIBIRITA Y GUATEQUE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
786,15,BOYACA,15464,MONGUA,1520,152001,CL 8,LIMITE URBANO,LIMITE URBANO,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2681,63,QUINDIO,63272,FILANDIA,6340,634001,LIMITE URBANO,KR 1,CL 11B,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1935,41,HUILA,41676,SANTA MARIA,4120,412020,KR 9,KR 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
176,5,ANTIOQUIA,05667,SAN RAFAEL,538,53838,MUNICIPIO SAN ROQUE,MUNICIPIO SAN CARLOS,MUNICIPIO SAN ROQUE,MUNICIPIO ALEJANDRIA,Rural,Sin Informacion de Barrios,Agua Bonita- El Chico-  El Diamante-  El Golgota-  La Florida-  La Iraca-  Las Divisas-  Las Flores-  Santa Cruz
752,15,BOYACA,15673,SAN MATEO,1512,151201,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
271,5,ANTIOQUIA,05030,AMAGA,558,55840,LIMITE URBANO,LIMITE URBANO,KR 54B,KR 54 E,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
103,5,ANTIOQUIA,05819,TOLEDO,520,52050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
338,5,ANTIOQUIA,05306,GIRALDO,570,57040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2814,68,SANTANDER,68160,CEPITA,6820,682061,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2607,54,NORTE DE SANTANDER,54109,BUCARASICA,5455,545557,QDA. AGUABLANCA Y M. SARDINATA,MPIO. VILLA CARO Y LOURDES,MUNICIPIO SARDINATA,Q/DA. AGUABLANCA Y M. VILLA CARO,Rural,Sin Informacion de Barrios,El Alto- Nuevo Mundo-  Provincia-  San Juana-  San Pablo-  Santa Rita-  Santa Rita
2630,54,NORTE DE SANTANDER,54670,SAN CALIXTO,5470,547010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
